name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950,24,47400,84400,66,12,South
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000,24,42400,77900,62,6,South
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,22,48400,86300,NA,0,West
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,3,59500,111900,50,23,Northeast
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,12,55500,101400,49,16,South
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,7,41200,74300,60,2,South
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3,49000,90700,54,11,South
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689,18,50100,88500,56,14,West
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,10,49400,84800,57,23,North Central
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178,6,55800,97600,94,0,North Central
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855,14,46700,82900,49,7,South
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,17,47300,80900,47,3,South
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,17,47400,85700,59,24,North Central
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800,24,38100,67500,61,19,South
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,3,48700,91800,69,13,North Central
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,6,48800,90000,50,5,Northeast
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,9,66600,116600,36,7,Northeast
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,19,39500,71600,53,27,South
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,12,44900,84900,44,21,South
Bethany College,Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080,23,39100,73200,61,17,North Central
Bethany College,West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353,6,46000,84900,63,5,South
Bethel College,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630,22,42700,73800,54,12,North Central
Bethel University,Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820,21,51000,85700,65,9,North Central
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756,10,40400,72600,51,11,North Central
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500,23,48400,89100,55,17,Northeast
Bluefield State College,West Virginia,WV,Public,4 Year,NA,8820,8820,16920,16920,15,43200,72800,60,3,South
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,4,50100,86400,55,14,West
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,11,63600,115400,43,13,Northeast
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,13,61400,113600,43,25,Northeast
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,2,61300,112000,54,37,Northeast
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,18,50300,89900,65,11,South
Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261,25,47200,87500,45,11,North Central
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,6,55600,104900,46,38,North Central
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,14,60600,113200,48,29,Northeast
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,10,44300,81200,53,7,South
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248,1,59200,108000,60,25,West
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326,1,68200,127600,45,43,Northeast
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675,2,60500,108600,37,8,Northeast
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,5,66700,122900,40,40,Northeast
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,7,51800,99300,53,9,North Central
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,3,84100,151600,53,97,West
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800,13,50200,91100,54,23,North Central
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322,11,43900,81500,54,14,South
Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930,16,46300,82400,56,8,South
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400,24,37600,66800,50,7,South
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136,2,67400,118400,63,88,South
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438,20,47000,82500,51,2,North Central
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844,1,58800,109900,47,45,North Central
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883,1,75900,136100,45,66,Northeast
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366,3,48200,91400,55,25,West
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402,16,45600,86500,49,14,North Central
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540,18,48900,85400,48,17,North Central
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232,1,66600,117800,44,37,North Central
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920,11,41700,76200,52,6,Northeast
Catawba College,North Carolina,NC,Private,4 Year,10488,30520,41008,30520,41008,22,42500,78100,58,11,South
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980,10,47000,88400,37,26,South
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700,18,36900,68000,NA,3,South
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960,25,37100,66100,NA,2,North Central
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575,9,49000,88800,55,36,North Central
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032,12,53100,93700,45,15,Northeast
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036,23,47700,83600,46,13,North Central
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168,14,52700,93200,47,13,West
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180,4,49500,88500,52,22,South
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576,16,42300,76700,66,3,North Central
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004,4,45400,84000,55,3,West
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364,7,51100,88400,39,14,Northeast
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,NA,17440,17440,17440,17440,5,78300,135700,NA,3,West
Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700,17,42800,76300,65,9,South
Charter Oak State College,Connecticut,CT,Public,4 Year,NA,10161,10161,13101,13101,18,49200,85900,68,2,Northeast
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220,4,51500,96500,60,14,South
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680,17,50800,87200,55,25,South
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110,9,68500,125400,43,16,West
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960,18,46300,81100,54,15,South
Clark College,Washington,WA,Public,2 Year,NA,4287,4287,9718,9718,24,43500,78400,NA,9,West
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900,23,52600,101400,47,14,Northeast
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950,20,44900,80200,52,6,North Central
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318,4,50900,91500,74,0,North Central
Clarkson University,New York,NY,Private,4 Year,14908,49444,64352,49444,64352,8,66400,130100,58,58,Northeast
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850,22,47400,84700,50,0,North Central
Clemson University,South Carolina,SC,Public,4 Year,10832,14970,25802,36724,47556,2,57500,106700,50,39,South
Cleveland State University,Ohio,OH,Public,4 Year,13560,10625,24185,14992,28552,21,48300,88600,51,20,North Central
Coastal Carolina University,South Carolina,SC,Public,4 Year,9190,11536,20726,26648,35838,13,44700,77600,48,14,South
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480,13,47200,86900,41,24,North Central
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400,4,59200,103300,50,25,Northeast
Colgate University,New York,NY,Private,4 Year,13995,55870,69865,55870,69865,7,68400,130600,41,26,Northeast
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910,16,51200,89800,40,0,North Central
College of Charleston,South Carolina,SC,Public,4 Year,12166,12738,24904,31920,44086,8,47300,85100,44,20,South
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050,14,43900,77700,45,9,North Central
College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520,52770,67290,52770,67290,12,61800,114600,46,24,Northeast
College of William and Mary,Virginia,VA,Public,4 Year,12236,23400,35636,44701,56937,5,59000,108900,42,21,South
Colorado Christian University,Colorado,CO,Private,4 Year,11846,31866,43712,31866,43712,17,46800,80100,70,2,West
Colorado College,Colorado,CO,Private,4 Year,12512,55470,67982,55470,67982,5,53100,97900,48,23,West
Colorado Mesa University,Colorado,CO,Public,4 Year,10925,9243,20168,22440,33365,14,47800,81500,55,7,West
Colorado School of Mines,Colorado,CO,Public,4 Year,13169,18964,32133,38584,51753,1,75600,139600,60,93,West
Colorado State University,Colorado,CO,Public,4 Year,11964,11831,23795,29732,41696,6,53500,96100,51,28,West
Colorado State University,Colorado,CO,Public,4 Year,11964,11831,23795,29732,41696,10,48100,87600,62,13,West
Columbia College,South Carolina,SC,Private,4 Year,7900,19500,27400,19500,27400,23,39200,68300,56,6,South
Columbia College,Missouri,MO,Private,4 Year,7808,22704,30512,22704,30512,25,44100,76600,52,2,North Central
Columbia International University,South Carolina,SC,Private,4 Year,8150,23690,31840,23690,31840,25,36600,66200,62,0,South
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562,25,43300,77900,59,10,South
Concord University,West Virginia,WV,Public,4 Year,8988,7896,16884,17320,26308,13,41700,75800,53,9,South
Concordia University,Oregon,OR,Private,4 Year,9520,30908,40428,30908,40428,14,48000,86100,69,1,West
Concordia University,Nebraska,NE,Private,4 Year,8470,32220,40690,32220,40690,19,39700,68900,48,5,North Central
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970,8,57500,100800,36,30,Northeast
Converse College,South Carolina,SC,Private,4 Year,10930,18690,29620,18690,29620,21,39000,71000,60,8,South
Cooper Union for the Advancement of Science and Art,New York,NY,Private,4 Year,16638,46700,63338,46700,63338,11,68500,126200,46,56,Northeast
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268,21,42500,77300,63,1,West
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683,6,49600,90600,47,22,North Central
Cornell University,New York,NY,Private,4 Year,14816,55188,70004,55188,70004,9,70100,128200,45,43,Northeast
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042,21,49000,86400,39,0,West
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590,24,44400,79400,62,19,South
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952,2,53500,95800,56,9,North Central
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180,16,45500,81000,61,3,South
Dakota State University,South Dakota,SD,Public,4 Year,6873,9276,16149,12249,19122,5,48400,84300,49,53,North Central
Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350,27300,34650,27300,34650,9,41800,75700,52,10,North Central
Dartmouth College,New Hampshire,NH,Private,4 Year,15756,55453,71209,55453,71209,1,71500,130900,44,35,Northeast
Davidson College,North Carolina,NC,Private,4 Year,14372,51447,65819,51447,65819,3,57300,106900,50,28,South
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094,3,46300,81900,62,10,South
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968,8,40800,74200,63,5,South
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670,5,54400,104800,45,22,North Central
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210,8,55700,102900,43,15,North Central
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724,5,56600,101000,47,24,North Central
Dickinson College,Pennsylvania,PA,Private,4 Year,13698,54661,68359,54661,68359,21,55800,100100,46,25,Northeast
Dickinson State University,North Dakota,ND,Public,4 Year,6898,6765,13663,9544,16442,5,46400,81200,55,8,North Central
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199,17,44700,79800,74,20,South
Doane University,Nebraska,NE,Private,4 Year,9400,33800,43200,33800,43200,9,47300,85300,51,21,North Central
Doane University,Nebraska,NE,Private,4 Year,9400,33800,43200,33800,43200,15,43200,77000,54,0,North Central
Dordt College,Iowa,IA,Private,4 Year,9590,30870,40460,30870,40460,8,51000,89600,57,17,North Central
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924,2,52800,99900,49,7,North Central
Drew University,New Jersey,NJ,Private,4 Year,14108,39500,53608,39500,53608,16,52800,95000,37,16,Northeast
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358,9,61700,114800,47,28,Northeast
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461,19,42600,79400,60,12,North Central
Duke University,North Carolina,NC,Private,4 Year,15178,55695,70873,55695,70873,1,71100,132100,50,26,South
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850,13,49100,88400,57,31,North Central
East Carolina University,North Carolina,NC,Public,4 Year,9606,7188,16794,23465,33071,11,48400,85400,55,11,South
East Central University,Oklahoma,OK,Public,4 Year,5514,6810,12324,17700,23214,17,44700,77500,66,9,South
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931,22,43700,77300,57,8,South
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156,17,49200,87800,43,14,Northeast
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092,11,45600,80700,56,5,South
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813,18,47300,86700,50,6,North Central
Eastern New Mexico University,New Mexico,NM,Public,4 Year,7162,6206,13368,8128,15290,4,44500,80500,61,5,West
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779,23,44000,73900,56,5,West
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237,20,49500,87500,52,17,West
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128,17,49200,88400,52,25,South
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520,15,49500,87500,54,5,North Central
Elon University,North Carolina,NC,Private,4 Year,12230,35319,47549,35319,47549,6,53600,93700,43,7,South
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762,2,62000,110800,44,20,South
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587,19,43500,78000,60,9,North Central
Erskine College,South Carolina,SC,Private,4 Year,10900,34560,45460,34560,45460,12,43500,78000,57,28,South
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060,4,62300,116900,41,17,Northeast
Fairmont State University,West Virginia,WV,Public,4 Year,9004,7514,16518,16324,25328,14,42900,74100,53,7,South
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440,21,39400,71300,61,2,South
Felician University,New Jersey,NJ,Private,4 Year,12880,34315,47195,34315,47195,11,53200,98200,51,10,Northeast
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524,17,50000,89300,50,8,North Central
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675,25,43000,80600,54,6,South
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270,11,45300,83600,53,39,South
Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594,5827,16421,17768,28362,25,48000,83900,62,8,South
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491,11,49400,91200,51,15,South
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730,3,58300,105400,53,48,South
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838,13,49600,90100,51,16,South
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499,8,50800,92700,49,18,South
Fordham University,New York,NY,Private,4 Year,17969,52687,70656,52687,70656,17,58700,112500,38,10,Northeast
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501,16,45100,79300,64,6,North Central
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574,13,48300,82600,55,19,West
Francis Marion University,South Carolina,SC,Public,4 Year,7948,11160,19108,21544,29492,13,42900,77600,58,18,South
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956,16,48900,86200,45,21,North Central
Franklin Pierce University,New Hampshire,NH,Private,4 Year,13345,36900,50245,36900,50245,7,47800,85600,52,3,Northeast
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387,21,44700,76500,59,14,North Central
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094,21,49600,87000,48,19,South
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270,13,51200,89600,52,8,West
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382,8,58900,105700,48,23,South
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430,9,45000,81900,54,10,South
Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884,12424,24308,33020,44904,1,72700,133400,48,80,South
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974,8,49000,88000,49,17,South
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810,7,50600,90800,47,18,South
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490,12,58400,109300,39,24,Northeast
Glenville State College,West Virginia,WV,Public,4 Year,NA,7327,7327,16565,16565,17,37400,67700,60,3,South
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284,10,42700,76900,NA,0,Northeast
Golden Gate University,California,CA,Private,4 Year,NA,15840,15840,15840,15840,24,59200,109800,49,3,West
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154,4,57800,107600,51,19,West
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806,17,49400,90600,42,11,South
Graceland University,Iowa,IA,Private,4 Year,8760,29240,38000,29240,38000,10,48300,88700,66,5,North Central
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650,21,43100,73100,66,10,South
Granite State College,New Hampshire,NH,Public,4 Year,NA,9645,9645,10875,10875,13,43500,76900,67,3,Northeast
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724,12,42000,75200,57,2,Northeast
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202,4,53400,96500,49,41,North Central
Grove City College,Pennsylvania,PA,Private,4 Year,9770,17930,27700,17930,27700,24,54400,98400,53,29,Northeast
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310,7,51200,96800,47,22,North Central
Hamilton College,New York,NY,Private,4 Year,13870,54620,68490,54620,68490,23,62600,108100,45,25,Northeast
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656,14,48100,90400,52,5,North Central
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480,13,52700,92600,61,12,South
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250,18,47500,85100,53,24,North Central
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179,4,49200,88600,47,10,South
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003,1,88800,158200,55,85,West
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750,8,48600,87100,55,14,North Central
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994,10,59300,112300,47,36,Northeast
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780,2,52200,93500,56,15,West
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590,10,42900,79800,57,5,South
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074,2,48100,90300,58,33,South
Heritage University,Washington,WA,Private,4 Year,NA,18124,18124,18124,18124,25,41100,73600,NA,17,West
High Point University,North Carolina,NC,Private,4 Year,14130,35118,49248,35118,49248,12,48600,84300,50,8,South
Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708,18,57300,110400,38,7,Northeast
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320,15,48100,87800,NA,0,North Central
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192,25,47900,82600,49,32,South
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320,14,49200,90900,51,18,North Central
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150,14,42400,78900,69,14,South
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010,10,43300,77600,52,1,Northeast
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147,3,50800,91800,64,12,West
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058,1,64600,118500,47,64,North Central
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890,16,51200,95000,47,10,North Central
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620,12,53100,96000,44,18,North Central
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920,19,50000,84900,46,11,North Central
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426,17,47900,85600,55,8,North Central
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112,1,56100,101300,48,31,North Central
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006,6,41700,74600,67,16,South
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245,12,43800,80000,61,7,South
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750,12,50100,90400,66,5,South
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508,9,57400,102600,42,12,South
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756,11,55500,97600,86,1,South
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152,5,47000,82700,53,9,South
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214,11,51600,97300,39,16,North Central
John Wesley University,North Carolina,NC,Private,4 Year,3600,13330,16930,13330,16930,18,45100,82100,NA,0,South
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076,3,67200,117100,57,31,South
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100,23,37900,67600,65,13,South
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272,8,51600,94500,52,31,North Central
Kansas City Art Institute,Missouri,MO,Private,4 Year,10400,38400,48800,38400,48800,22,42500,77700,37,0,North Central
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447,2,52500,97200,51,18,North Central
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000,15,44700,79400,61,10,North Central
Kean University,New Jersey,NJ,Public,4 Year,14470,12348,26818,19383,33853,22,48200,90000,51,10,Northeast
Keene State College,New Hampshire,NH,Public,4 Year,11026,14212,25238,23176,34202,10,48900,83600,49,8,Northeast
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625,5,52500,94600,46,22,South
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090,22,39600,70300,68,3,South
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080,18,40700,73100,57,13,South
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204,14,42100,76800,65,14,South
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440,7,55000,103800,50,17,North Central
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300,14,54300,95800,NA,0,North Central
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730,1,69900,125000,44,74,North Central
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424,15,50600,95400,45,24,North Central
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640,15,55800,104800,40,5,Northeast
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520,6,66500,122500,37,47,Northeast
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454,9,55400,102600,46,21,North Central
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972,24,45900,83500,48,14,North Central
Lakeview College of Nursing,Illinois,IL,Private,4 Year,NA,16320,16320,16320,16320,18,55000,94100,83,0,North Central
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562,13,53300,101200,57,16,South
Lander University,South Carolina,SC,Public,4 Year,9100,11700,20800,21300,30400,15,42600,77100,54,9,South
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776,11,46500,81500,66,8,South
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520,4,57900,108400,49,60,North Central
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816,5,51500,98800,58,25,North Central
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530,2,69500,134100,45,52,Northeast
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180,18,56600,98900,53,21,South
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424,10,50000,93200,51,12,West
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028,25,49700,89800,53,14,North Central
Limestone College,South Carolina,SC,Private,4 Year,9765,26000,35765,26000,35765,16,42100,76500,57,10,South
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600,21,45100,78500,48,9,North Central
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235,25,35300,64100,52,2,South
Linfield College,Oregon,OR,Private,4 Year,12420,43232,55652,43232,55652,8,50900,94000,NA,0,West
Linfield College,Oregon,OR,Private,4 Year,12420,43232,55652,43232,55652,11,52100,92000,48,17,West
