name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081,1,51700,96400,48,19,South
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860,5,48200,92500,52,19,South
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684,5,48500,92500,65,7,South
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504,5,49500,87600,50,18,South
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388,5,52000,95000,50,24,Northeast
University of Maine at Augusta,Maine,ME,Public,4 Year,NA,7988,7988,17918,17918,12,41600,73100,61,7,Northeast
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504,13,41100,71700,64,5,Northeast
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535,11,43500,76300,73,5,Northeast
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586,16,37100,66200,47,13,Northeast
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641,14,39000,70700,58,6,Northeast
University of Mary,North Dakota,ND,Private,4 Year,6890,18720,25610,18720,25610,6,46400,79100,64,3,North Central
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552,10,54200,98200,49,17,South
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388,8,47200,85800,55,12,South
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334,6,56200,99600,48,22,South
University of Michigan,Michigan,MI,Public,4 Year,11534,15262,26796,49350,60884,3,63500,112200,45,38,North Central
University of Michigan,Michigan,MI,Public,4 Year,11534,15262,26796,49350,60884,6,55700,99500,39,37,North Central
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310,2,48500,89100,55,12,South
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,19,40600,74100,77,7,South
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,22,38900,70700,49,7,South
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460,22,48300,88500,41,19,North Central
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,NA,11558,11558,28898,28898,3,53400,93000,79,6,North Central
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610,6,50100,91500,69,7,Northeast
University of New Hampshire,New Hampshire,NH,Public,4 Year,11580,18499,30079,33879,45459,2,54300,100300,50,23,Northeast
University of New Hampshire at Manchester,New Hampshire,NH,Public,4 Year,NA,15265,15265,30635,30635,4,51900,90900,50,32,Northeast
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170,11,52100,94800,52,25,Northeast
University of New Mexico,New Mexico,NM,Public,4 Year,9864,5445,15309,26845,36709,3,48400,94000,59,19,West
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465,7,49900,91600,55,23,South
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,18,43000,75600,61,6,South
University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360,5,55000,100800,49,19,South
University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578,8,52500,92600,49,25,South
University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522,16,46400,82400,44,0,South
University of North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733,2,53800,96000,54,16,North Central
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088,19,48800,86600,51,11,South
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,9,47300,85600,51,8,South
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678,12,47700,87100,52,7,West
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428,15,47100,85300,46,8,North Central
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801,2,67000,130500,45,28,North Central
University of Oklahoma,Oklahoma,OK,Public,4 Year,10994,11763,22757,27144,38138,2,57100,102100,68,3,South
University of Oklahoma,Oklahoma,OK,Public,4 Year,10994,11763,22757,27144,38138,3,54400,100600,52,23,South
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441,7,51800,95800,46,13,West
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200,3,72800,133900,41,21,Northeast
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750,21,39000,70700,74,11,South
University of Pittsburgh,Pennsylvania,PA,Public,4 Year,11050,19080,30130,32052,43102,19,55900,100400,50,27,Northeast
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354,3,58500,104900,52,28,West
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316,8,54200,101300,45,21,West
University of Rhode Island,Rhode Island,RI,Public,4 Year,12950,14138,27088,30862,43812,5,54500,99700,50,18,Northeast
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860,7,59800,107500,48,13,South
University of Rochester,New York,NY,Private,4 Year,15938,53926,69864,53926,69864,16,61100,112700,50,32,Northeast
University of Saint Francis,Indiana,IN,Private,4 Year,9840,30615,40455,30615,40455,22,45700,83700,63,5,North Central
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601,14,49900,88800,63,9,Northeast
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338,25,58900,109400,48,12,West
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896,23,60600,109900,52,6,West
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915,23,37300,67400,49,11,South
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714,23,56400,99700,42,12,Northeast
University of Sioux Falls,South Dakota,SD,Private,4 Year,7350,18280,25630,18280,25630,6,44400,78200,64,6,North Central
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,9,47700,86400,56,17,South
University of South Dakota,South Dakota,SD,Public,4 Year,8216,9061,17277,12425,20641,4,47500,87900,56,8,North Central
University of South Florida,Florida,FL,Public,4 Year,11610,6410,18020,17324,28934,10,49700,91300,49,25,South
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620,11,64500,120600,47,23,West
