institution_name,city,state,type,division,region,expenditure_m,enrollment_th
Sonoma State University,Rohnert Park,CA,Public,Division II,West,1.1868,4.706
University of Southern California,Los Angeles,CA,Private,Division I,West,21.134517,20.386
Westmont College,Santa Barbara,CA,Private,Division II,West,1.181927,1.3
Whittier College,Whittier,CA,Private,Division III,West,0.316543,0.786
Adams State University,Alamosa,CO,Public,Division II,West,1.137408,1.053
University of Colorado Colorado Springs,Colorado Springs,CO,Public,Division II,West,1.36681,7.125
University of Colorado Boulder,Boulder,CO,Public,Division I,West,14.279602,29.751
Colorado Christian University,Lakewood,CO,Private,Division II,West,1.138747,1.789
Colorado College,Colorado Springs,CO,Private,Division III,West,0.80709,2.099
Colorado School of Mines,Golden,CO,Public,Division II,West,1.780923,5.553
Colorado State University-Fort Collins,Fort Collins,CO,Public,Division I,West,9.138705,22.676
University of Denver,Denver,CO,Private,Division I,West,5.185,5.751
Fort Lewis College,Durango,CO,Public,Division II,West,1.145553,2.8
Colorado Mesa University,Grand Junction,CO,Public,Division II,West,1.383295,6.396
Metropolitan State University of Denver,Denver,CO,Public,Division II,West,2.083226,9.06
University of Northern Colorado,Greeley,CO,Public,Division I,West,3.546073,5.166
Regis University,Denver,CO,Private,Division II,West,1.352288,1.852
Colorado State University Pueblo,Pueblo,CO,Public,Division II,West,1.005304,2.445
Western Colorado University,Gunnison,CO,Public,Division II,West,1.121049,1.515
Albertus Magnus College,New Haven,CT,Private,Division III,Northeast,0.254754,0.799
University of Bridgeport,Bridgeport,CT,Private,Division II,Northeast,0.945903,1.255
Central Connecticut State University,New Britain,CT,Public,Division I,Northeast,2.257062,6.368
Connecticut College,New London,CT,Private,Division III,Northeast,0.426268,1.959
University of Connecticut,Storrs,CT,Public,Division I,Northeast,30.770306,18.758
Eastern Connecticut State University,Willimantic,CT,Public,Division III,Northeast,0.557932,3.178
Fairfield University,Fairfield,CT,Private,Division I,Northeast,7.986914,4.903
University of Hartford,West Hartford,CT,Private,Division III,Northeast,0.674792,3.838
Mitchell College,New London,CT,Private,Division III,Northeast,0.213637,0.409
University of New Haven,West Haven,CT,Private,Division II,Northeast,1.628214,4.547
Quinnipiac University,Hamden,CT,Private,Division I,Northeast,5.22809,6.07
Sacred Heart University,Fairfield,CT,Private,Division I,Northeast,3.809218,6.53
University of Saint Joseph,West Hartford,CT,Private,Division III,Northeast,0.424921,0.796
Southern Connecticut State University,New Haven,CT,Public,Division II,Northeast,1.523076,5.385
Trinity College,Hartford,CT,Private,Division III,Northeast,0.547594,2.167
Wesleyan University,Middletown,CT,Private,Division III,Northeast,0.567564,2.962
Western Connecticut State University,Danbury,CT,Public,Division III,Northeast,0.563115,2.997
Yale University,New Haven,CT,Private,Division I,Northeast,3.351838,6.799
Delaware State University,Dover,DE,Public,Division I,South,1.983186,4.068
University of Delaware,Newark,DE,Public,Division I,South,6.065689,18.051
Goldey-Beacom College,Wilmington,DE,Private,Division II,South,0.576573,0.553
Wilmington University,New Castle,DE,Private,Division II,South,0.524262,3.026
American University,Washington,DC,Private,Division I,Northeast,4.763629,7.357
The Catholic University of America,Washington,DC,Private,Division III,Northeast,0.518704,2.88
University of the District of Columbia,Washington,DC,Public,Division II,Northeast,1.23005,1.15
Gallaudet University,Washington,DC,Private,Division III,Northeast,0.321639,0.823
George Washington University,Washington,DC,Private,Division I,Northeast,8.749052,10.281
Georgetown University,Washington,DC,Private,Division I,Northeast,21.030781,7.188
Howard University,Washington,DC,Private,Division I,Northeast,3.91817,9.361
Trinity Washington University,Washington,DC,Private,Division III,Northeast,0.035162,0.928
Barry University,Miami,FL,Private,Division II,South,1.297232,2.031
